
Dump of file C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_a51067c0ac557884\nvml_loader.dll

File Type: DLL

  Section contains the following exports for nvml_loader.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         244 number of functions
         244 number of names

    ordinal hint RVA      name

        234   E9 0006C000 nvmlVgpuTypeGetClass
        235   EA 0006C012 nvmlVgpuTypeGetDeviceID
        236   EB 0006C030 nvmlVgpuTypeGetFrameRateLimit
        237   EC 0006C018 nvmlVgpuTypeGetFramebufferSize
        238   ED 0006C00C nvmlVgpuTypeGetGpuInstanceProfileId
        239   EE 0006C02A nvmlVgpuTypeGetLicense
        240   EF 0006C036 nvmlVgpuTypeGetMaxInstances
        241   F0 0006C03C nvmlVgpuTypeGetMaxInstancesPerVm
        242   F1 0006C006 nvmlVgpuTypeGetName
        243   F2 0006C01E nvmlVgpuTypeGetNumDisplayHeads
        244   F3 0006C024 nvmlVgpuTypeGetResolution

  Summary

        3000 .data
        2000 .pdata
        F000 .rdata
        1000 .reloc
       7F000 .text
        1000 _RDATA
