
Dump of file C:\Windows\System32\mfplat.dll

File Type: DLL

  Section contains the following exports for MFPlat.DLL

        182   B2          MFLockWorkQueue (forwarded to RTWorkQ.RtwqLockWorkQueue)
        183   B3 0001D680 MFMapDX9FormatToDXGIFormat
        184   B4 000046D0 MFMapDXGIFormatToDX9Format
          7   B5 000387E0 MFPlatformBigEndian
          8   B6 0003A5F0 MFPlatformLittleEndian
        185   B7          MFPutWaitingWorkItem (forwarded to RTWorkQ.RtwqPutWaitingWorkItem)
        186   B8 000087E0 MFPutWorkItem
        187   B9 0002FD80 MFPutWorkItem2
        188   BA 00021C80 MFPutWorkItemEx
        189   BB 00018CD0 MFPutWorkItemEx2
        190   BC 00008B80 MFRegisterLocalByteStreamHandler
        191   BD 000F89C0 MFRegisterLocalSchemeHandler
        192   BE          MFRegisterPlatformWithMMCSS (forwarded to RTWorkQ.RtwqRegisterPlatformWithMMCSS)
        193   BF          MFRemovePeriodicCallback (forwarded to RTWorkQ.RtwqRemovePeriodicCallback)
        194   C0 00019BD0 MFScheduleWorkItem
        195   C1          MFScheduleWorkItemEx (forwarded to RTWorkQ.RtwqScheduleWorkItem)
        196   C2 0000C930 MFSerializeAttributesToStream
        197   C3 000AAC70 MFSerializeEvent
        198   C4 00021C30 MFSerializeMediaTypeToStream
        199   C5 0001B200 MFSerializePresentationDescriptor
        200   C6 0006B3C0 MFSetMinimumMemoryAlignment
        201   C7 00070870 MFSetSockaddrAny
        202   C8 00021660 MFSetWindowForContentProtection
        203   C9 00035C20 MFShutdown
        204   CA 000057C0 MFSplitSample
        205   CB 00033A50 MFStartup
        206   CC 000A5550 MFStreamDescriptorProtectMediaType
        207   CD 000A8A60 MFTEnum
        208   CE 000A96F0 MFTEnum2
        209   CF 000236E0 MFTEnumEx
        210   D0 0003A320 MFTGetInfo
        211   D1 000A8D50 MFTRegister
        212   D2 000A0B00 MFTRegisterLocal
        213   D3 000A0B70 MFTRegisterLocalByCLSID
        214   D4 000A8F00 MFTUnregister
        215   D5 000A0BE0 MFTUnregisterLocal
        216   D6 000A0BF0 MFTUnregisterLocalByCLSID
        217   D7 00031BC0 MFTraceError
        218   D8 00031BC0 MFTraceFuncEnter
        219   D9          MFUnjoinWorkQueue (forwarded to RTWorkQ.RtwqUnjoinWorkQueue)
        220   DA 00022860 MFUnlockDXGIDeviceManager
        221   DB          MFUnlockPlatform (forwarded to RTWorkQ.RtwqUnlockPlatform)
        222   DC          MFUnlockWorkQueue (forwarded to RTWorkQ.RtwqUnlockWorkQueue)
        223   DD          MFUnregisterPlatformFromMMCSS (forwarded to RTWorkQ.RtwqUnregisterPlatformFromMMCSS)
        224   DE 000A2DB0 MFUnwrapMediaType
        225   DF 0002AF10 MFValidateMediaTypeSize
        226   E0 000A2F20 MFWrapMediaType
        227   E1 00070A30 MFWrapSocket
        228   E2 00029650 MFllMulDiv
        229   E3 000A0C10 PropVariantFromStream
        230   E4 000A0FC0 PropVariantToStream
          9   E5 0003A4F0 ValidateWaveFormat

  Summary

        6000 .data
        1000 .didat
        F000 .pdata
       46000 .rdata
        5000 .reloc
        1000 .rsrc
      159000 .text
