
Dump of file C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_a51067c0ac557884\nvcuda_loader32.dll

File Type: DLL

  Section contains the following exports for nvcuda_loader.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         537 number of functions
         537 number of names

    ordinal hint RVA      name

        303  12E 002D68E6 cuMemPoolExportToShareableHandle
        304  12F 002D68BC cuMemPoolGetAccess
        305  130 002D68AA cuMemPoolGetAttribute
        306  131 002D68EC cuMemPoolImportFromShareableHandle
        307  132 002D68F8 cuMemPoolImportPointer
        308  133 002D68B0 cuMemPoolSetAccess
        309  134 002D68A4 cuMemPoolSetAttribute
        310  135 002D689E cuMemPoolTrimTo
        311  136 002D5DE2 cuMemPrefetchAsync
        312  137 002D5DE8 cuMemPrefetchAsync_ptsz
        313  138 002D5DF4 cuMemRangeGetAttribute
        314  139 002D5DFA cuMemRangeGetAttributes
        315  13A 002D6802 cuMemRelease
        316  13B 002D6844 cuMemRetainAllocationHandle
        317  13C 002D6820 cuMemSetAccess
        318  13D 002D681A cuMemUnmap
        338  13E 002D5E4E cuMemcpy
        319  13F 002D5EEA cuMemcpy2D
        320  140 002D6424 cuMemcpy2DAsync
        321  141 002D642A cuMemcpy2DAsync_v2
        322  142 002D6430 cuMemcpy2DAsync_v2_ptsz
        323  143 002D5EFC cuMemcpy2DUnaligned
        324  144 002D5F02 cuMemcpy2DUnaligned_v2
        325  145 002D5F08 cuMemcpy2DUnaligned_v2_ptds
        326  146 002D5EF0 cuMemcpy2D_v2
        327  147 002D5EF6 cuMemcpy2D_v2_ptds
        328  148 002D5F0E cuMemcpy3D
        329  149 002D6436 cuMemcpy3DAsync
        330  14A 002D643C cuMemcpy3DAsync_v2
        331  14B 002D6442 cuMemcpy3DAsync_v2_ptsz
        332  14C 002D65BC cuMemcpy3DPeer
        333  14D 002D65C8 cuMemcpy3DPeerAsync
        334  14E 002D65CE cuMemcpy3DPeerAsync_ptsz
        335  14F 002D65C2 cuMemcpy3DPeer_ptds
        336  150 002D5F14 cuMemcpy3D_v2
        337  151 002D5F1A cuMemcpy3D_v2_ptds
        339  152 002D63BE cuMemcpyAsync
        340  153 002D63C4 cuMemcpyAsync_ptsz
        341  154 002D5E5A cuMemcpyAtoA
        342  155 002D5E60 cuMemcpyAtoA_v2
        343  156 002D5E66 cuMemcpyAtoA_v2_ptds
        344  157 002D5E6C cuMemcpyAtoD
        345  158 002D5E72 cuMemcpyAtoD_v2
        346  159 002D5E78 cuMemcpyAtoD_v2_ptds
        347  15A 002D5E7E cuMemcpyAtoH
        348  15B 002D6412 cuMemcpyAtoHAsync
        349  15C 002D6418 cuMemcpyAtoHAsync_v2
        350  15D 002D641E cuMemcpyAtoHAsync_v2_ptsz
        351  15E 002D5E84 cuMemcpyAtoH_v2
        352  15F 002D5E8A cuMemcpyAtoH_v2_ptds
        353  160 002D5E90 cuMemcpyDtoA
        354  161 002D5E96 cuMemcpyDtoA_v2
        355  162 002D5E9C cuMemcpyDtoA_v2_ptds
        356  163 002D5EB4 cuMemcpyDtoD
        357  164 002D63CA cuMemcpyDtoDAsync
        358  165 002D63D0 cuMemcpyDtoDAsync_v2
        359  166 002D63D6 cuMemcpyDtoDAsync_v2_ptsz
        360  167 002D5EBA cuMemcpyDtoD_v2
        361  168 002D5EC0 cuMemcpyDtoD_v2_ptds
        362  169 002D5EA2 cuMemcpyDtoH
        363  16A 002D63EE cuMemcpyDtoHAsync
        364  16B 002D63F4 cuMemcpyDtoHAsync_v2
        365  16C 002D63FA cuMemcpyDtoHAsync_v2_ptsz
        366  16D 002D5EA8 cuMemcpyDtoH_v2
        367  16E 002D5EAE cuMemcpyDtoH_v2_ptds
        368  16F 002D5EC6 cuMemcpyHtoA
        369  170 002D6400 cuMemcpyHtoAAsync
        370  171 002D6406 cuMemcpyHtoAAsync_v2
        371  172 002D640C cuMemcpyHtoAAsync_v2_ptsz
        372  173 002D5ECC cuMemcpyHtoA_v2
        373  174 002D5ED2 cuMemcpyHtoA_v2_ptds
        374  175 002D5ED8 cuMemcpyHtoD
        375  176 002D63DC cuMemcpyHtoDAsync
        376  177 002D63E2 cuMemcpyHtoDAsync_v2
        377  178 002D63E8 cuMemcpyHtoDAsync_v2_ptsz
        378  179 002D5EDE cuMemcpyHtoD_v2
        379  17A 002D5EE4 cuMemcpyHtoD_v2_ptds
        380  17B 002D65A4 cuMemcpyPeer
        381  17C 002D65B0 cuMemcpyPeerAsync
        382  17D 002D65B6 cuMemcpyPeerAsync_ptsz
        383  17E 002D65AA cuMemcpyPeer_ptds
        384  17F 002D5E54 cuMemcpy_ptds
        385  180 002D5F32 cuMemsetD16
        386  181 002D6454 cuMemsetD16Async
        387  182 002D645A cuMemsetD16Async_ptsz
        388  183 002D5F38 cuMemsetD16_v2
        389  184 002D5F3E cuMemsetD16_v2_ptds
        390  185 002D5F68 cuMemsetD2D16
        391  186 002D6478 cuMemsetD2D16Async
        392  187 002D647E cuMemsetD2D16Async_ptsz
        393  188 002D5F6E cuMemsetD2D16_v2
        394  189 002D5F74 cuMemsetD2D16_v2_ptds
        395  18A 002D5F7A cuMemsetD2D32
        396  18B 002D6484 cuMemsetD2D32Async
        397  18C 002D648A cuMemsetD2D32Async_ptsz
        398  18D 002D5F80 cuMemsetD2D32_v2
        399  18E 002D5F86 cuMemsetD2D32_v2_ptds
        400  18F 002D5F56 cuMemsetD2D8
        401  190 002D646C cuMemsetD2D8Async
        402  191 002D6472 cuMemsetD2D8Async_ptsz
        403  192 002D5F5C cuMemsetD2D8_v2
        404  193 002D5F62 cuMemsetD2D8_v2_ptds
        405  194 002D5F44 cuMemsetD32
        406  195 002D6460 cuMemsetD32Async
        407  196 002D6466 cuMemsetD32Async_ptsz
        408  197 002D5F4A cuMemsetD32_v2
        409  198 002D5F50 cuMemsetD32_v2_ptds
        410  199 002D5F20 cuMemsetD8
        411  19A 002D6448 cuMemsetD8Async
        412  19B 002D644E cuMemsetD8Async_ptsz
        413  19C 002D5F26 cuMemsetD8_v2
        414  19D 002D5F2C cuMemsetD8_v2_ptds
        415  19E 002D5D88 cuMipmappedArrayCreate
        416  19F 002D5D9A cuMipmappedArrayDestroy
        417  1A0 002D5D8E cuMipmappedArrayGetLevel
        418  1A1 002D5D94 cuMipmappedArrayGetSparseProperties
        419  1A2 002D602E cuModuleGetFunction
        420  1A3 002D6034 cuModuleGetGlobal
        421  1A4 002D603A cuModuleGetGlobal_v2
        422  1A5 002D6334 cuModuleGetSurfRef
        423  1A6 002D6040 cuModuleGetTexRef
        424  1A7 002D6010 cuModuleLoad
        425  1A8 002D6016 cuModuleLoadData
        426  1A9 002D601C cuModuleLoadDataEx
        427  1AA 002D6022 cuModuleLoadFatBinary
        428  1AB 002D6028 cuModuleUnload
        429  1AC 002D6694 cuOccupancyAvailableDynamicSMemPerBlock
        430  1AD 002D667C cuOccupancyMaxActiveBlocksPerMultiprocessor
        431  1AE 002D6688 cuOccupancyMaxActiveBlocksPerMultiprocessorWithFlags
        432  1AF 002D6682 cuOccupancyMaxPotentialBlockSize
        433  1B0 002D668E cuOccupancyMaxPotentialBlockSizeWithFlags
        434  1B1 002D5FB6 cuParamSetSize
        435  1B2 002D5FCE cuParamSetTexRef
        436  1B3 002D5FC2 cuParamSetf
        437  1B4 002D5FBC cuParamSeti
        438  1B5 002D5FC8 cuParamSetv
        439  1B6 002D5E00 cuPointerGetAttribute
        440  1B7 002D5E0C cuPointerGetAttributes
        441  1B8 002D5E06 cuPointerSetAttribute
        442  1B9 002D657A cuProfilerInitialize
        443  1BA 002D6580 cuProfilerStart
        444  1BB 002D6586 cuProfilerStop
        445  1BC 002D65F2 cuSignalExternalSemaphoresAsync
        446  1BD 002D65F8 cuSignalExternalSemaphoresAsync_ptsz
        447  1BE 002D6532 cuStreamAddCallback
        448  1BF 002D6538 cuStreamAddCallback_ptsz
        449  1C0 002D653E cuStreamAttachMemAsync
        450  1C1 002D6544 cuStreamAttachMemAsync_ptsz
        451  1C2 002D63B2 cuStreamBatchMemOp
        452  1C3 002D63B8 cuStreamBatchMemOp_ptsz
        453  1C4 002D64F0 cuStreamBeginCapture
        454  1C5 002D64F6 cuStreamBeginCapture_ptsz
        455  1C6 002D64FC cuStreamBeginCapture_v2
