
Dump of file C:\Windows\System32\nvcuda.dll

File Type: DLL

  Section contains the following exports for nvcuda_loader.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         537 number of functions
         537 number of names

    ordinal hint RVA      name

        197   C4 0020657A cuGraphHostNodeSetParams
        198   C5 00206502 cuGraphInstantiate
        199   C6 00206508 cuGraphInstantiate_v2
        200   C7 00206670 cuGraphKernelNodeCopyAttributes
        201   C8 00206676 cuGraphKernelNodeGetAttribute
        202   C9 002064C6 cuGraphKernelNodeGetParams
        203   CA 0020667C cuGraphKernelNodeSetAttribute
        204   CB 00206544 cuGraphKernelNodeSetParams
        205   CC 0020651A cuGraphLaunch
        206   CD 00206520 cuGraphLaunch_ptsz
        207   CE 002064D2 cuGraphMemcpyNodeGetParams
        208   CF 0020653E cuGraphMemcpyNodeSetParams
        209   D0 002064DE cuGraphMemsetNodeGetParams
        210   D1 002064E4 cuGraphMemsetNodeSetParams
        211   D2 00206556 cuGraphNodeFindInClone
        212   D3 002064F6 cuGraphNodeGetDependencies
        213   D4 002064FC cuGraphNodeGetDependentNodes
        214   D5 002064EA cuGraphNodeGetType
        215   D6 00206538 cuGraphRemoveDependencies
        216   D7 0020650E cuGraphUpload
        217   D8 00206514 cuGraphUpload_ptsz
        218   D9 00205FC8 cuGraphicsD3D10RegisterResource
        219   DA 00206046 cuGraphicsD3D11RegisterResource
        220   DB 00205F20 cuGraphicsD3D9RegisterResource
        221   DC 0020608E cuGraphicsGLRegisterBuffer
        222   DD 00206094 cuGraphicsGLRegisterImage
        223   DE 00206076 cuGraphicsMapResources
        224   DF 0020607C cuGraphicsMapResources_ptsz
        225   E0 00206058 cuGraphicsResourceGetMappedMipmappedArray
        226   E1 0020605E cuGraphicsResourceGetMappedPointer
        227   E2 00206064 cuGraphicsResourceGetMappedPointer_v2
        228   E3 0020606A cuGraphicsResourceSetMapFlags
        229   E4 00206070 cuGraphicsResourceSetMapFlags_v2
        230   E5 00206052 cuGraphicsSubResourceGetMappedArray
        231   E6 00206082 cuGraphicsUnmapResources
        232   E7 00206088 cuGraphicsUnmapResources_ptsz
        233   E8 0020604C cuGraphicsUnregisterResource
        234   E9 002063F4 cuImportExternalMemory
        235   EA 0020640C cuImportExternalSemaphore
        236   EB 001F88A0 cuInit
        237   EC 0020645A cuIpcCloseMemHandle
        238   ED 0020643C cuIpcGetEventHandle
        239   EE 00206448 cuIpcGetMemHandle
        240   EF 00206442 cuIpcOpenEventHandle
        241   F0 0020644E cuIpcOpenMemHandle
        242   F1 00206454 cuIpcOpenMemHandle_v2
        243   F2 00205DF4 cuLaunch
        244   F3 00205E12 cuLaunchCooperativeKernel
        245   F4 00205E1E cuLaunchCooperativeKernelMultiDevice
        246   F5 00205E18 cuLaunchCooperativeKernel_ptsz
        247   F6 00205DFA cuLaunchGrid
        248   F7 00205E00 cuLaunchGridAsync
        249   F8 00205E24 cuLaunchHostFunc
        250   F9 00205E2A cuLaunchHostFunc_ptsz
        251   FA 00205E06 cuLaunchKernel
        252   FB 00205E0C cuLaunchKernel_ptsz
        253   FC 00205E72 cuLinkAddData
        254   FD 00205E78 cuLinkAddData_v2
        255   FE 00205E7E cuLinkAddFile
        256   FF 00205E84 cuLinkAddFile_v2
        257  100 00205E8A cuLinkComplete
        258  101 00205E66 cuLinkCreate
        259  102 00205E6C cuLinkCreate_v2
        260  103 00205E90 cuLinkDestroy
        261  104 00206616 cuMemAddressFree
        262  105 00206610 cuMemAddressReserve
        263  106 00205C0E cuMemAdvise
        264  107 00205BC0 cuMemAlloc
        265  108 002066B2 cuMemAllocAsync
        266  109 002066B8 cuMemAllocAsync_ptsz
        267  10A 002066FA cuMemAllocFromPoolAsync
