
Dump of file C:\Windows\System32\clusapi.dll

File Type: DLL

  Section contains the following exports for CLUSAPI.dll

    00000000 characteristics
    F7024D7C time date stamp
        0.00 version
           1 ordinal base
         290 number of functions
         290 number of names

    ordinal hint RVA      name

        234   E9 00061FB0 InitializeClusStorageEnclosureInfo
        235   EA 00061FE0 InitializeClusStorageEnclosureInfoArray
        236   EB 0000CA20 IsFileOnClusterSharedVolume
        237   EC 00036030 MoveClusterGroup
        238   ED 00035DD0 MoveClusterGroupEx
        239   EE 00036230 OfflineClusterGroup
        240   EF 00036280 OfflineClusterGroupEx
        241   F0 00050770 OfflineClusterResource
        242   F1 000507D0 OfflineClusterResourceEx
        243   F2 00035BB0 OnlineClusterGroup
        244   F3 00035C50 OnlineClusterGroupEx
        245   F4 00050660 OnlineClusterResource
        246   F5 000506C0 OnlineClusterResourceEx
        247   F6 00009BF0 OpenCluster
        248   F7 00009C20 OpenClusterEx
        249   F8 00009C50 OpenClusterEx2
        250   F9 00035410 OpenClusterGroup
        251   FA 00035440 OpenClusterGroupEx
        252   FB 000662A0 OpenClusterGroupSet
        253   FC 000391D0 OpenClusterNetInterface
        254   FD 00039200 OpenClusterNetInterfaceEx
        255   FE 0003EA30 OpenClusterNetwork
        256   FF 0003EA60 OpenClusterNetworkEx
        257  100 00040450 OpenClusterNode
        258  101 00041900 OpenClusterNodeById
        259  102 00040480 OpenClusterNodeEx
        260  103 00050010 OpenClusterResource
        261  104 00050040 OpenClusterResourceEx
        262  105 00040980 PauseClusterNode
        263  106 00040BD0 PauseClusterNodeEx
        264  107 00046C80 RegisterClusterNotify
        265  108 00047CF0 RegisterClusterNotifyV2
        266  109 00047D80 RegisterClusterResourceTypeNotifyV2
        267  10A 00036580 RemoveClusterGroupDependency
        268  10B 00066990 RemoveClusterGroupSetDependency
        269  10C 00066A70 RemoveClusterGroupToGroupSetDependency
        270  10D 0002D480 RemoveClusterNameAccount
        271  10E 00050C50 RemoveClusterResourceDependency
        272  10F 00050A10 RemoveClusterResourceNode
        273  110 0001D700 RemoveClusterStorageNode
        274  111 00068970 RemoveCrossClusterGroupSetDependency
        275  112 000519A0 RemoveResourceFromClusterSharedVolumes
        276  113 000505F0 RestartClusterResource
        277  114 0000C6E0 RestoreClusterDatabase
        278  115 00040ED0 ResumeClusterNode
        279  116 00041120 ResumeClusterNodeEx
