
Dump of file C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_a51067c0ac557884\nvwgf2umx_cfg.dll

File Type: DLL

  Section contains the following exports for nvwgf2umx_cfg.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         268 number of functions
         268 number of names

    ordinal hint RVA      name

        148   91 00669C00 ?setBiasFlag@Convolution@cask@@QEAAX_N@Z
        149   92 00669C00 ?setBiasFlag@ConvolutionWeightGradient@cask@@QEAAX_N@Z
        150   93 00669C00 ?setBiasFlag@Gemm@cask@@QEAAX_N@Z
        151   94 0104E860 ?setBiasSimdWidth@Convolution@cask@@QEAAX_K@Z
        152   95 0104E860 ?setBiasSimdWidth@Gemm@cask@@QEAAX_K@Z
        153   96 00669AA0 ?setBiasType@Convolution@cask@@QEAAXV?$SafeEnum@UScalarType_ENUMCLASS_SCOPEWRAPPER@cask@@@2@@Z
        154   97 00669AA0 ?setBiasType@ConvolutionWeightGradient@cask@@QEAAXV?$SafeEnum@UScalarType_ENUMCLASS_SCOPEWRAPPER@cask@@@2@@Z
        155   98 00669AA0 ?setBiasType@Gemm@cask@@QEAAXV?$SafeEnum@UScalarType_ENUMCLASS_SCOPEWRAPPER@cask@@@2@@Z
        156   99 01050210 ?setBlendFactor@PoolingOperation@cask@@QEAAXM@Z
        157   9A 0104E880 ?setChunkK@Convolution@cask@@QEAAX_K@Z
        158   9B 0104E880 ?setChunkK@Gemm@cask@@QEAAX_K@Z
        159   9C 0104E930 ?setConvolutionDilationD@Convolution@cask@@QEAAX_K@Z
        160   9D 0104E930 ?setConvolutionDilationD@ConvolutionWeightGradient@cask@@QEAAX_K@Z
        161   9E 00669C70 ?setConvolutionDilationH@Convolution@cask@@QEAAX_K@Z
        162   9F 00669C70 ?setConvolutionDilationH@ConvolutionWeightGradient@cask@@QEAAX_K@Z
        163   A0 00669C80 ?setConvolutionDilationW@Convolution@cask@@QEAAX_K@Z
        164   A1 00669C80 ?setConvolutionDilationW@ConvolutionWeightGradient@cask@@QEAAX_K@Z
        165   A2 0104E940 ?setConvolutionGroups@Convolution@cask@@QEAAX_K@Z
        166   A3 0104E940 ?setConvolutionGroups@ConvolutionWeightGradient@cask@@QEAAX_K@Z
        167   A4 0104E910 ?setConvolutionPadBack@Convolution@cask@@QEAAX_K@Z
        168   A5 0104E910 ?setConvolutionPadBack@ConvolutionWeightGradient@cask@@QEAAX_K@Z
        169   A6 00669C20 ?setConvolutionPadBottom@Convolution@cask@@QEAAX_K@Z
        170   A7 00669C20 ?setConvolutionPadBottom@ConvolutionWeightGradient@cask@@QEAAX_K@Z
        171   A8 0104E8F0 ?setConvolutionPadD@Convolution@cask@@QEAAX_K@Z
        172   A9 0104E8F0 ?setConvolutionPadD@ConvolutionWeightGradient@cask@@QEAAX_K@Z
        173   AA 0104E900 ?setConvolutionPadFront@Convolution@cask@@QEAAX_K@Z
        174   AB 0104E900 ?setConvolutionPadFront@ConvolutionWeightGradient@cask@@QEAAX_K@Z
        175   AC 0104E8D0 ?setConvolutionPadH@Convolution@cask@@QEAAX_K@Z
        176   AD 0104E8D0 ?setConvolutionPadH@ConvolutionWeightGradient@cask@@QEAAX_K@Z
        177   AE 00669C30 ?setConvolutionPadLeft@Convolution@cask@@QEAAX_K@Z
        178   AF 00669C30 ?setConvolutionPadLeft@ConvolutionWeightGradient@cask@@QEAAX_K@Z
        179   B0 00669C40 ?setConvolutionPadRight@Convolution@cask@@QEAAX_K@Z
        180   B1 00669C40 ?setConvolutionPadRight@ConvolutionWeightGradient@cask@@QEAAX_K@Z
        181   B2 00669C10 ?setConvolutionPadTop@Convolution@cask@@QEAAX_K@Z
        182   B3 00669C10 ?setConvolutionPadTop@ConvolutionWeightGradient@cask@@QEAAX_K@Z
        183   B4 0104E8E0 ?setConvolutionPadW@Convolution@cask@@QEAAX_K@Z
        184   B5 0104E8E0 ?setConvolutionPadW@ConvolutionWeightGradient@cask@@QEAAX_K@Z
        185   B6 0104E920 ?setConvolutionStrideD@Convolution@cask@@QEAAX_K@Z
        186   B7 0104E920 ?setConvolutionStrideD@ConvolutionWeightGradient@cask@@QEAAX_K@Z
        187   B8 00669C50 ?setConvolutionStrideH@Convolution@cask@@QEAAX_K@Z
        188   B9 00669C50 ?setConvolutionStrideH@ConvolutionWeightGradient@cask@@QEAAX_K@Z
        189   BA 00669C60 ?setConvolutionStrideW@Convolution@cask@@QEAAX_K@Z
        190   BB 00669C60 ?setConvolutionStrideW@ConvolutionWeightGradient@cask@@QEAAX_K@Z
        191   BC 00669C90 ?setCrossCorrelationFlag@Convolution@cask@@QEAAX_N@Z
        192   BD 00669C90 ?setCrossCorrelationFlag@ConvolutionWeightGradient@cask@@QEAAX_N@Z
        193   BE 0104E980 ?setCtasPerWave@Convolution@cask@@QEAAX_K@Z
        194   BF 0104E980 ?setCtasPerWave@Gemm@cask@@QEAAX_K@Z
        195   C0 0104E970 ?setDynamicResize@Convolution@cask@@QEAAX_N@Z
        196   C1 00669B20 ?setFilterDesc@Convolution@cask@@QEAAXAEBUTensorDesc@2@@Z
        197   C2 00669B20 ?setFilterDesc@ConvolutionWeightGradient@cask@@QEAAXAEBUTensorDesc@2@@Z
        198   C3 0104E990 ?setHardwareInfo@Convolution@cask@@QEAAXHHH@Z
        199   C4 00669AB0 ?setInputDesc@Convolution@cask@@QEAAXAEBUTensorDesc@2@@Z
        200   C5 00669AB0 ?setInputDesc@ConvolutionWeightGradient@cask@@QEAAXAEBUTensorDesc@2@@Z
        201   C6 00669B20 ?setInputDesc@Gemm@cask@@QEAAXAEBUTensorDesc@2@@Z
        202   C7 00669AB0 ?setInputDesc@PoolingOperation@cask@@QEAAXAEBUTensorDesc@2@@Z
        203   C8 00669AB0 ?setInputDesc@SoftmaxOperation@cask@@QEAAXAEBUTensorDesc@2@@Z
        204   C9 0104E9B0 ?setIsDgrad@Convolution@cask@@QEAAX_N@Z
        205   CA 0104F440 ?setIsWgrad1x1BatchedGEMM@Gemm@cask@@QEAAXH@Z
        206   CB 0104F430 ?setMode@Gemm@cask@@QEAAX_K@Z
        207   CC 01050230 ?setNbDims@PoolingOperation@cask@@QEAA?AV?$SafeEnum@UErrorEnum@cask@@@2@I@Z
        208   CD 00669B90 ?setOutputDesc@Convolution@cask@@QEAAXAEBUTensorDesc@2@@Z
        209   CE 00669B90 ?setOutputDesc@ConvolutionWeightGradient@cask@@QEAAXAEBUTensorDesc@2@@Z
        210   CF 00669B90 ?setOutputDesc@Gemm@cask@@QEAAXAEBUTensorDesc@2@@Z
        211   D0 0104F3C0 ?setOutputDesc@PoolingOperation@cask@@QEAAXAEBUTensorDesc@2@@Z
        212   D1 0104F3C0 ?setOutputDesc@SoftmaxOperation@cask@@QEAAXAEBUTensorDesc@2@@Z
        213   D2 010502A0 ?setPaddingBottom@PoolingOperation@cask@@QEAAX_K@Z
        214   D3 010502B0 ?setPaddingLeft@PoolingOperation@cask@@QEAAX_K@Z
        215   D4 01050310 ?setPaddingPost@PoolingOperation@cask@@QEAA?AV?$SafeEnum@UErrorEnum@cask@@@2@QEB_KI@Z
        216   D5 010502D0 ?setPaddingPre@PoolingOperation@cask@@QEAA?AV?$SafeEnum@UErrorEnum@cask@@@2@QEB_KI@Z
        217   D6 010502C0 ?setPaddingRight@PoolingOperation@cask@@QEAAX_K@Z
