
Dump of file C:\Windows\System32\MapControlCore.dll

File Type: DLL

  Section contains the following exports for MapControlCore.dll

    00000000 characteristics
    D8AEB8AE time date stamp
        0.00 version
           1 ordinal base
         250 number of functions
         250 number of names

    ordinal hint RVA      name

        151   96 0000D700 ?GetManeuverWarnings@RouteManeuver@core@@QEBAAEBVIItineraryWarning@msnma@@K@Z
        152   97 00014D20 ?GetMaxLatitude@GeoCoordinates@core@@SANXZ
        153   98 00014D30 ?GetMaxLongitude@GeoCoordinates@core@@SANXZ
        154   99 00014D40 ?GetMinLatitude@GeoCoordinates@core@@SANXZ
        155   9A 00014D50 ?GetMinLongitude@GeoCoordinates@core@@SANXZ
        158   9B 00016D80 ?GetProgress@OperationAdapterCore@@QEBAKXZ
        159   9C 0000BDB0 ?GetProvider@RouterAdapterCore@@QEAAJPEAW4Provider@engine@@@Z
        160   9D 00004390 ?GetResultSqmId@OperationAdapterCore@@MEBAKXZ
        161   9E 000175F0 ?GetResultSqmId@RouterAdapterCore@@UEBAKXZ
        162   9F 00014D60 ?GetRight@GeoRect@core@@QEBANXZ
        163   A0 00017600 ?GetRoute@RouterAdapterCore@@QEAAJPEAVRoute@core@@@Z
        164   A1 0001A490 ?GetSnappedCompassHeading@RouteManeuver@core@@CA?AW4CompassHeading@2@K@Z
        165   A2 0001A580 ?GetStartCoordinates@RouteManeuver@core@@QEBAJPEAVGeoCoordinates@2@@Z
        166   A3 0001A6D0 ?GetStartInstruction@RouteManeuver@core@@AEBAJAEAV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@Z
        167   A4 00016E30 ?GetStatus@QueryAdapterCore@@QEBA?AW4QueryStatus@@XZ
        168   A5 0001A800 ?GetStopoverInstruction@RouteManeuver@core@@AEBAJAEAV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@Z
        169   A6 0001A810 ?GetStringResource@RouteManeuver@core@@SAJKAEAV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@Z
        170   A7 0001A9A0 ?GetTakeFerryInstruction@RouteManeuver@core@@AEBAJAEAV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@Z
        171   A8 0001A9C0 ?GetTargetRoadName@RouteManeuver@core@@QEBAJAEAV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@Z
        172   A9 00014DA0 ?GetTop@GeoRect@core@@QEBANXZ
        173   AA 00014DE0 ?GetTopLeft@GeoRect@core@@QEBAJPEAVGeoCoordinates@2@@Z
        174   AB 0001AAD0 ?GetTrafficCircleExitNumber@RouteManeuver@core@@QEBAKXZ
        175   AC 0001AC10 ?GetTrafficCircleInstruction@RouteManeuver@core@@AEBAJAEAV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@Z
        176   AD 0000D870 ?GetTrafficCongestion@Route@core@@UEBA?AW4TrafficCongestionType@IRoute@msnma@@XZ
        177   AE 0000D990 ?GetTrafficCongestion@RouteLeg@core@@UEBA?AW4TrafficCongestionType@IRoute@msnma@@XZ
        178   AF 0001ACE0 ?GetTurnInstruction@RouteManeuver@core@@AEBAJAEAV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@Z
        179   B0 0001B020 ?GetUndefinedInstruction@RouteManeuver@core@@AEBAJAEAV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@Z
        180   B1 00015E90 ?GetUserGeoRegion@MapsSettings@@SAJPEAPEAUHSTRING__@@@Z
        181   B2 00015FA0 ?GetUserGeoRegion@MapsSettings@@SAJPEAV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@Z
        182   B3 00003AD0 ?GetUserGeoRegionAsThreeLetterCode@MapsSettings@@SAJPEAV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@Z
        183   B4 00016040 ?GetUserPreferredUILanguage@MapsSettings@@SAJPEAV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@Z
        184   B5 00016050 ?GetUserProfileLanguage@MapsSettings@@SAJPEAV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@Z
        185   B6 00003B40 ?GetUserProfileLanguages@MapsSettings@@SAJPEAPEAUHSTRING__@@@Z
        186   B7 00003CA0 ?GetUserProfileLanguages@MapsSettings@@SAJPEAV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@Z
        187   B8 0001B0A0 ?GetUturnInstruction@RouteManeuver@core@@AEBAJAEAV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@Z
        188   B9 00017660 ?GetViolatedOptions@RouterAdapterCore@@QEAAJPEAH@Z
        189   BA 000043A0 ?IncrementGeneration@?$UIThreadCore@UIRouterUI@@@@IEAAJXZ
        190   BB 00017680 ?Initialize@?$UIThreadCore@UIRouterUI@@@@IEAAJV?$unique_ptr@UIThreadSignal@@U?$destroy_delete@UIThreadSignal@@@@@std@@@Z
        191   BC 0000DAB0 ?Initialize@Route@core@@QEAAJV?$shared_ptr@VIRoute@msnma@@@std@@@Z
        192   BD 0000DC00 ?Initialize@RouteLeg@core@@AEAAJV?$shared_ptr@VIRoute@msnma@@@std@@K@Z
        193   BE 0000DDE0 ?Initialize@RouteManeuver@core@@AEAAJAEBV?$vector@V?$shared_ptr@VIManeuver@msnma@@@std@@V?$allocator@V?$shared_ptr@VIManeuver@msnma@@@std@@@2@@std@@H@Z
        194   BF 0001B0C0 ?InitializeGeometryCoordinates@RouteLeg@core@@AEAAJXZ
        195   C0 0001B290 ?InitializeInstructionText@RouteManeuver@core@@AEBAJAEAV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@0@Z
        196   C1 0001B8D0 ?InitializeLegs@Route@core@@AEAAJXZ
        197   C2 0001BA50 ?InitializeManeuverCondensingContexts@RouteLeg@core@@AEAAJ_N@Z
        198   C3 0001BDA0 ?InitializeManeuvers@RouteLeg@core@@AEAAJXZ
        199   C4 00014E50 ?Intersects@GeoRect@core@@QEAA_NPEBV12@@Z
        200   C5 000161A0 ?IsChinaVariant@MapsSettings@@SA_NXZ
        202   C6 000150D0 ?IsDegenerate@GeoRect@core@@QEBA_NXZ
        203   C7 0001BF70 ?IsDeserialized@Route@core@@QEBA_NXZ
        204   C8 00017760 ?IsDispatchEnabled@?$UIThreadCore@UIRouterUI@@@@IEAA_NXZ
