
Dump of file C:\Windows\System32\dmdskmgr.dll

File Type: DLL

  Section contains the following exports for DMDskMgr.dll

    00000000 characteristics
    83EA7E34 time date stamp
        0.00 version
           1 ordinal base
         233 number of functions
         233 number of names

    ordinal hint RVA      name

         97   60 000280B0 ?GetIVolumeClientVersion@CTaskData@@QEAAFXZ
         98   61 0001E8D0 ?GetIconId@CDMNodeObj@@QEAAIH@Z
         99   62 0001E990 ?GetImageNum@CDMNodeObj@@QEAAHXZ
        100   63 00012AF0 ?GetLastKnownState@CDataCache@@QEAA_J_J@Z
        101   64 0001EB20 ?GetLayoutType@CDMNodeObj@@QEAA?AW4_LAYOUT_TYPES@@XZ
        102   65 000081F0 ?GetLdmObjectId@CDMNodeObj@@QEAA_JXZ
        103   66 0001EB80 ?GetLogicalDriveCount@CDMNodeObj@@QEAAKXZ
        104   67 0001EBD0 ?GetLongName@CDMNodeObj@@QEAAXAEAVCString@@H@Z
        105   68 00017420 ?GetMMCWindow@CDMComponentData@@QEAAPEAUHWND__@@XZ
        106   69 0001ED80 ?GetMaxAdjustedFreeSize@CDMNodeObj@@QEAAXAEA_J@Z
        107   6A 0001EDA0 ?GetMaxPartitionCount@CDMNodeObj@@QEAAKXZ
        108   6B 00012BA0 ?GetMinMaxPartitionSizes@CDataCache@@IEAAX_JAEA_J1@Z
        109   6C 000280D0 ?GetMinMaxPartitionSizes@CTaskData@@QEAAX_JAEA_J1@Z
        110   6D 0001EDC0 ?GetName@CDMNodeObj@@QEAAXAEAVCString@@@Z
        111   6E 00008210 ?GetNumMembers@CDMNodeObj@@QEAAKXZ
        112   6F 0001F0D0 ?GetNumRegions@CDMNodeObj@@QEAAKXZ
        113   70 0001F0E0 ?GetObjectId@CDMNodeObj@@QEAAXAEA_J@Z
        114   71 00008220 ?GetOcxFrameCWndPtr@CTaskData@@QEAAPEAVCWnd@@XZ
        115   72 0001F110 ?GetOfflineReasonText@CDMNodeObj@@QEAAHAEAVCString@@@Z
        116   73 000280F0 ?GetOtherDisksFromVolCookie@CTaskData@@QEAAX_JAEAKPEAPEA_J@Z
        117   74 0001F200 ?GetParentDiskPtr@CDMNodeObj@@QEAAPEAV1@XZ
        118   75 0001F2D0 ?GetParentVolumePtr@CDMNodeObj@@QEAAPEAV1@XZ
        119   76 0001F340 ?GetPartitionStyle@CDMNodeObj@@QEAA?AW4_PARTITIONSTYLE@@XZ
        120   77 0001F360 ?GetPartitionStyleString@CDMNodeObj@@QEAAXAEAVCString@@H@Z
        121   78 0001F710 ?GetPatternRef@CDMNodeObj@@QEAAHXZ
        122   79 0001F7F0 ?GetPort@CDMNodeObj@@QEAAHXZ
        123   7A 0001F810 ?GetPrimaryPartitionCount@CDMNodeObj@@QEAAKXZ
        125   7B 0001F880 ?GetRegionByOffset@CDMNodeObj@@QEAAPEAV1@_J@Z
        126   7C 00008230 ?GetRegionColorStructPtr@CTaskData@@QEAAXPEAPEAU_REGION_COLORS@@AEAH@Z
        127   7D 0001F8E0 ?GetRegionInfo@CDMNodeObj@@QEAAHAEAUregioninfoex@@@Z
        128   7E 0001A310 ?GetResultPane@CDMSnapin@@QEAAH_JPEAPEAVCDMResultPane@@@Z
        129   7F 00020E80 ?GetResultStringArray@CDMNodeObj@@QEAAHAEAVCStringArray@@@Z
        130   80 00015870 ?GetScopeNode@CDMScopeNodeCollection@@QEAAH_JPEAPEAVCDMScopeNode@@@Z
        131   81 00017430 ?GetScopeNodeForResultPane@CDMComponentData@@QEAAH_JPEAPEAVCDMScopeNode@@@Z
        132   82 00008250 ?GetServerName@CDataCache@@QEAA?AVCString@@XZ
        133   83 00028290 ?GetServerName@CTaskData@@QEAA?AVCString@@XZ
        134   84 00020F60 ?GetShortName@CDMNodeObj@@QEAAXAEAVCString@@@Z
        135   85 00021120 ?GetShrinkableSizeInMB@CDMNodeObj@@QEAA_JXZ
        136   86 00021170 ?GetSize@CDMNodeObj@@QEAAXAEA_JH@Z
        137   87 000211D0 ?GetSizeMB@CDMNodeObj@@QEAAXAEA_J@Z
        138   88 00021220 ?GetSizeString@CDMNodeObj@@QEAAXAEAVCString@@@Z
        139   89 00021370 ?GetStartOffset@CDMNodeObj@@QEAA_JXZ
        140   8A 000213B0 ?GetStatus@CDMNodeObj@@QEAAHXZ
        141   8B 000213F0 ?GetStorageType@CDMNodeObj@@QEAA?AW4_STORAGE_TYPES@@XZ
        142   8C 000214A0 ?GetStorageType@CDMNodeObj@@QEAAXAEAVCString@@H@Z
        143   8D 000282D0 ?GetUIState@CTaskData@@QEAAKXZ
        144   8E 00021B40 ?GetUnallocSpace@CDMNodeObj@@QEAA_JH@Z
        145   8F 00021C80 ?GetUsableContiguousSpaceInMB@CDMNodeObj@@QEAA_JXZ
        146   90 00013640 ?GetVolumeCookies@CDataCache@@IEAAXAEAKPEAPEA_J@Z
        147   91 00008280 ?GetVolumeCount@CDataCache@@QEAAKXZ
        148   92 00021CC0 ?GetVolumeFileSystemTypes@CDMNodeObj@@QEAAJAEAKPEAPEAUilhfilesysteminfo@@@Z
        149   93 00021D30 ?GetVolumeInfo@CDMNodeObj@@QEAAHAEAUvolumeinfo@@@Z
        150   94 00021DA0 ?GetVolumeStatus@CDMNodeObj@@QEAAHAEAVCString@@@Z
        151   95 000221B0 ?GetVolumeTotalSizeMB@CDMNodeObj@@QEAA_JXZ
        152   96 00022200 ?HasExtendedPartition@CDMNodeObj@@QEAAHXZ
        153   97 00013710 ?HasNTFSwithDriveLetter@CDataCache@@QEAAHXZ
        154   98 000282E0 ?HasNTFSwithDriveLetter@CTaskData@@QEAAHXZ
        155   99 00013780 ?HasVMDisk@CDataCache@@QEAAHXZ
        156   9A 00022220 ?IsActive@CDMNodeObj@@QEAAHXZ
        157   9B 000137F0 ?IsAlpha@CDataCache@@QEAAHXZ
        158   9C 00028300 ?IsAlpha@CTaskData@@QEAAHXZ
        159   9D 000222B0 ?IsConvertSuccess@CDMNodeObj@@QEAAJH@Z
        160   9E 00022320 ?IsCurrBootVolume@CDMNodeObj@@QEAAHXZ
        161   9F 00022390 ?IsCurrSystemVolume@CDMNodeObj@@QEAAHXZ
        162   A0 00022410 ?IsDiskEmpty@CDMNodeObj@@QEAAHXZ
        163   A1 00022590 ?IsDiskOffline@CDMNodeObj@@QEAAHXZ
        164   A2 000225D0 ?IsDiskReadOnly@CDMNodeObj@@QEAAHXZ
        165   A3 00013800 ?IsDynamic1394@CDataCache@@QEAAHXZ
        166   A4 00022610 ?IsEECoveredGPTDisk@CDMNodeObj@@QEAAHXZ
