
Dump of file C:\Windows\System32\ucrtbased.dll

File Type: DLL

  Section contains the following exports for ucrtbased.dll

    00000000 characteristics
    B8B20920 time date stamp
        0.00 version
           1 ordinal base
        2547 number of functions
        2547 number of names

    ordinal hint RVA      name

        469  1D4 00020730 _ismbcalnum_l
        470  1D5 00020840 _ismbcalpha
        471  1D6 000207C0 _ismbcalpha_l
        472  1D7 00021130 _ismbcblank
        473  1D8 000210A0 _ismbcblank_l
        474  1D9 00020CA0 _ismbcdigit
        475  1DA 00020C30 _ismbcdigit_l
        476  1DB 00020D30 _ismbcgraph
        477  1DC 00020CB0 _ismbcgraph_l
        478  1DD 00020DA0 _ismbchira
        479  1DE 00020D40 _ismbchira_l
        480  1DF 00020E10 _ismbckata
        481  1E0 00020DB0 _ismbckata_l
        482  1E1 00021750 _ismbcl0
        483  1E2 000216E0 _ismbcl0_l
        484  1E3 000217D0 _ismbcl1
        485  1E4 00021760 _ismbcl1_l
        486  1E5 00021850 _ismbcl2
        487  1E6 000217E0 _ismbcl2_l
        488  1E7 00020EF0 _ismbclegal
        489  1E8 00020E90 _ismbclegal_l
        490  1E9 00020F70 _ismbclower
        491  1EA 00020F00 _ismbclower_l
        492  1EB 00021000 _ismbcprint
        493  1EC 00020F80 _ismbcprint_l
        494  1ED 00021090 _ismbcpunct
        495  1EE 00021010 _ismbcpunct_l
        496  1EF 000212E0 _ismbcspace
        497  1F0 00021250 _ismbcspace_l
        498  1F1 00020E80 _ismbcsymbol
        499  1F2 00020E20 _ismbcsymbol_l
        500  1F3 00021360 _ismbcupper
        501  1F4 000212F0 _ismbcupper_l
        502  1F5 00021240 _ismbslead
        503  1F6 00021140 _ismbslead_l
        504  1F7 00045870 _ismbstrail
        505  1F8 000458A0 _ismbstrail_l
        506  1F9 001305E0 _isnan
        507  1FA 00130650 _isnanf
        508  1FB 0004F280 _isprint_l
        509  1FC 0004F2B0 _ispunct_l
        510  1FD 0004F2E0 _isspace_l
        511  1FE 0004F310 _isupper_l
        512  1FF 00050150 _iswalnum_l
        513  200 00050180 _iswalpha_l
        514  201 000501B0 _iswblank_l
        515  202 00050200 _iswcntrl_l
        516  203 00050230 _iswcsym_l
        517  204 00050280 _iswcsymf_l
        518  205 00045B40 _iswctype_l
        519  206 000502D0 _iswdigit_l
        520  207 00050300 _iswgraph_l
        521  208 00050330 _iswlower_l
        522  209 00050360 _iswprint_l
        523  20A 00050390 _iswpunct_l
        524  20B 000503C0 _iswspace_l
        525  20C 000503F0 _iswupper_l
        526  20D 00050420 _iswxdigit_l
        527  20E 0004F340 _isxdigit_l
        528  20F 0004EAC0 _itoa
        529  210 0004EB30 _itoa_s
        530  211 0004EBA0 _itow
        531  212 0004EC10 _itow_s
        532  213 000CDD30 _j0
        533  214 000CDEC0 _j1
        534  215 000CE0C0 _jn
        535  216 00016A90 _kbhit
        536  217 000F8260 _ld_int
        537  218 000EAA40 _ldclass
        538  219 000DE540 _ldexp
        539  21A 000E9A20 _ldlog
        540  21B 000EAA60 _ldpcomp
        541  21C 000DC310 _ldpoly
        542  21D 000F7920 _ldscale
        543  21E 000EA920 _ldsign
        544  21F 000E7340 _ldsin
        545  220 000F8290 _ldtest
        546  221 000F8520 _ldunscale
        547  222 000BA450 _lfind
        548  223 000BA870 _lfind_s
        549  224 0001DBA0 _loaddll
        550  225 00152030 _local_unwind
        551  226 00115C20 _localtime32
        552  227 00115C40 _localtime32_s
        553  228 00115C70 _localtime64
        554  229 00115C90 _localtime64_s
        555  22A 000B86D0 _lock_file
