
Dump of file C:\Windows\System32\shlwapi.dll

File Type: DLL

  Section contains the following exports for SHLWAPI.dll

         83               [NONAME] (forwarded to KERNEL32.GetModuleHandleW)
         84               [NONAME] (forwarded to GDI32.GetObjectW)
         85               [NONAME] (forwarded to KERNEL32.GetPrivateProfileIntW)
         86               [NONAME] (forwarded to KERNEL32.GetProfileStringW)
         87               [NONAME] (forwarded to USER32.GetPropW)
         88               [NONAME] (forwarded to KERNEL32.GetStringTypeExW)
         89               [NONAME] (forwarded to KERNEL32.GetTempFileNameW)
         90               [NONAME] (forwarded to KERNEL32.GetTempPathW)
         91               [NONAME] (forwarded to GDI32.GetTextExtentPoint32W)
         92               [NONAME] (forwarded to GDI32.GetTextFaceW)
         93               [NONAME] (forwarded to GDI32.GetTextMetricsW)
         94               [NONAME] (forwarded to USER32.GetWindowLongW)
         95               [NONAME] (forwarded to USER32.GetWindowTextW)
         96               [NONAME] (forwarded to USER32.GetWindowTextLengthW)
         97               [NONAME] (forwarded to KERNEL32.GetWindowsDirectoryW)
         98               [NONAME] (forwarded to USER32.InsertMenuW)
         99               [NONAME] (forwarded to USER32.IsDialogMessageW)
        100               [NONAME] (forwarded to USER32.LoadAcceleratorsW)
        101               [NONAME] (forwarded to USER32.LoadBitmapW)
        102               [NONAME] (forwarded to USER32.LoadCursorW)
        103               [NONAME] (forwarded to USER32.LoadIconW)
        104               [NONAME] (forwarded to USER32.LoadImageW)
        105               [NONAME] (forwarded to KERNEL32.LoadLibraryExW)
        106               [NONAME] (forwarded to USER32.LoadMenuW)
        107               [NONAME] (forwarded to USER32.LoadStringW)
        108               [NONAME] (forwarded to USER32.MessageBoxIndirectW)
        109               [NONAME] (forwarded to USER32.ModifyMenuW)
        110               [NONAME] (forwarded to GDI32.GetCharWidth32W)
        111               [NONAME] (forwarded to GDI32.GetCharacterPlacementW)
        112               [NONAME] (forwarded to KERNEL32.CopyFileW)
        113               [NONAME] (forwarded to KERNEL32.MoveFileW)
        114               [NONAME] (forwarded to USER32.OemToCharW)
        115               [NONAME] (forwarded to KERNEL32.OutputDebugStringW)
        116               [NONAME] (forwarded to USER32.PeekMessageW)
        117               [NONAME] (forwarded to USER32.PostMessageW)
        118               [NONAME] (forwarded to USER32.PostThreadMessageW)
        119               [NONAME] (forwarded to SHUNIMPL.#448)
        120      000203D0 [NONAME]
        121      000203F0 [NONAME]
        122               [NONAME] (forwarded to SHUNIMPL.#449)
        123      00020430 [NONAME]
        124      000204F0 [NONAME]
        125      000204D0 [NONAME]
        126      00020520 [NONAME]
        127      000205C0 [NONAME]
        128      000205A0 [NONAME]
        129               [NONAME] (forwarded to SHUNIMPL.#450)
        130      000205E0 [NONAME]
        131               [NONAME] (forwarded to USER32.RegisterClassW)
        132               [NONAME] (forwarded to USER32.RegisterClipboardFormatW)
        133               [NONAME] (forwarded to USER32.RegisterWindowMessageW)
