
Dump of file C:\Windows\System32\dnsapi.dll

File Type: DLL

  Section contains the following exports for DNSAPI.dll

    00000000 characteristics
    F033F114 time date stamp
        0.00 version
           1 ordinal base
         289 number of functions
         289 number of names

    ordinal hint RVA      name

        220   DB 00057C90 Dns_SendAndRecvUdp
        221   DC 00057D50 Dns_SendEx
        222   DD 00056970 Dns_SetRecordDatalength
        223   DE 00056980 Dns_SetRecordsSection
        224   DF 000569B0 Dns_SetRecordsTtl
        225   E0 00005080 Dns_SkipPacketName
        226   E1 000569D0 Dns_SkipToRecord
        227   E2 00066830 Dns_UpdateLib
        228   E3 00066830 Dns_UpdateLibEx
        229   E4 0000FDE0 Dns_WriteDottedNameToPacket
        230   E5 00056B70 Dns_WriteQuestionToMessage
        231   E6 00056D60 Dns_WriteRecordStructureToPacketEx
        232   E7 0005E1D0 ExtraInfo_Init
        233   E8 0004F6B0 Faz_AreServerListsInSameNameSpace
        234   E9 0002A5F0 FlushDnsPolicyUnreachableStatus
        235   EA 0002CE20 GetCurrentTimeInSeconds
        236   EB 0002D6B0 HostsFile_Close
        237   EC 0002D130 HostsFile_Open
        238   ED 0002C9C0 HostsFile_ReadLine
        239   EE 000510B0 IpHelp_IsAddrOnLink
        240   EF 00051530 Local_GetRecordsForLocalName
        241   F0 00051550 Local_GetRecordsForLocalNameEx
        242   F1 00017F80 NetInfo_Build
        243   F2 00003E20 NetInfo_Clean
        244   F3 0001DB30 NetInfo_Copy
        245   F4 00051F70 NetInfo_CopyNetworkIndex
        246   F5 0001D7E0 NetInfo_CreatePerNetworkNetinfo
        247   F6 00018D30 NetInfo_Free
        248   F7 000521C0 NetInfo_GetAdapterByAddress
        249   F8 0001EB80 NetInfo_GetAdapterByInterfaceIndex
        250   F9 00025310 NetInfo_GetAdapterByName
        251   FA 0001FDF0 NetInfo_IsAddrConfig
        252   FB 000534C0 NetInfo_IsForUpdate
        253   FC 00024E60 NetInfo_IsTcpipConfigChange
        254   FD 000026A0 NetInfo_ResetServerPriorities
        255   FE 00052410 NetInfo_UpdateDnsInterfaceConfigChange
        256   FF 0002A140 NetInfo_UpdateNetworkProperties
        257  100 00029CD0 NetInfo_UpdateServerReachability
        258  101 00053D90 QueryDirectEx
        259  102 00053F90 Query_Cancel
        260  103 00008770 Query_Main
        261  104 000253D0 Reg_FreeUpdateInfo
        262  105 0001A2A0 Reg_GetValueEx
        263  106 0000C480 Reg_ReadGlobalsEx
        264  107 00024F70 Reg_ReadUpdateInfo
        265  108 0004F6A0 Security_ContextListTimeout
        266  109 00010780 Send_AndRecvUdpWithParam
        267  10A 00058500 Send_MessagePrivate
        268  10B 00012BC0 Send_MessagePrivateEx
        269  10C 00058510 Send_OpenTcpConnectionAndSend
        270  10D 00066820 Socket_CacheCleanup
        271  10E 000223E0 Socket_CacheInit
        272  10F 00066820 Socket_CleanupWinsock
        273  110 00058BA0 Socket_ClearMessageSockets
        274  111 00029B10 Socket_CloseEx
        275  112 00058BC0 Socket_CloseMessageSockets
        276  113 0002A810 Socket_Create
        277  114 00066870 Socket_CreateMulticast
        278  115 00066850 Socket_InitWinsock
        279  116 00029300 Socket_JoinMulticast
        280  117 0001E8C0 Socket_RecvFrom
        281  118 000206B0 Socket_SetMulticastInterface
        282  119 00029F30 Socket_SetMulticastLoopBack
        283  11A 00029560 Socket_SetTtl
        284  11B 00058C40 Socket_TcpListen
        285  11C 0002B0D0 Trace_Reset
        286  11D 0005D200 Update_ReplaceAddressRecordsW
        287  11E 0005E450 Util_IsIp6Running
        288  11F 0002D3A0 Util_IsRunningOnXboxOne
        289  120 00062900 WriteDnsNrptRulesToRegistry

  Summary

        2000 .data
        1000 .didat
        8000 .pdata
       22000 .rdata
        1000 .reloc
        9000 .rsrc
       85000 .text
        E000 .wpp_sf
