
Dump of file C:\Windows\System32\libomp140.x86_64.dll

File Type: DLL

  Section contains the following exports for libomp140.x86_64.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
         100 ordinal base
        2408 number of functions
         690 number of names

    ordinal hint RVA      name

       2374  151 00005B3C __kmpc_atomic_fixed8_eqv_cpt
       2067  152 00001302 __kmpc_atomic_fixed8_max
       2359  153 00002DF6 __kmpc_atomic_fixed8_max_cpt
       2068  154 000033F0 __kmpc_atomic_fixed8_min
       2360  155 0000461F __kmpc_atomic_fixed8_min_cpt
       2043  156 00005FFB __kmpc_atomic_fixed8_mul
       2335  157 000020F9 __kmpc_atomic_fixed8_mul_cpt
       2184  158 0000558D __kmpc_atomic_fixed8_mul_float8
       2076  159 00004921 __kmpc_atomic_fixed8_neqv
       2370  15A 00001FAF __kmpc_atomic_fixed8_neqv_cpt
       2044  15B 000048C2 __kmpc_atomic_fixed8_orb
       2336  15C 00003698 __kmpc_atomic_fixed8_orb_cpt
       2060  15D 000016DB __kmpc_atomic_fixed8_orl
       2352  15E 00005718 __kmpc_atomic_fixed8_orl_cpt
       2268  15F 00004B7E __kmpc_atomic_fixed8_rd
       2045  160 00003274 __kmpc_atomic_fixed8_shl
       2337  161 00004575 __kmpc_atomic_fixed8_shl_cpt
       2447  162 00006046 __kmpc_atomic_fixed8_shl_cpt_rev
       2491  163 00006069 __kmpc_atomic_fixed8_shl_rev
       2046  164 00005CDB __kmpc_atomic_fixed8_shr
       2338  165 00004165 __kmpc_atomic_fixed8_shr_cpt
       2448  166 00005A47 __kmpc_atomic_fixed8_shr_cpt_rev
       2492  167 00003120 __kmpc_atomic_fixed8_shr_rev
       2028  168 00002ADB __kmpc_atomic_fixed8_sub
       2320  169 0000259A __kmpc_atomic_fixed8_sub_cpt
       2444  16A 00003CD8 __kmpc_atomic_fixed8_sub_cpt_rev
       2488  16B 00002B49 __kmpc_atomic_fixed8_sub_rev
       2415  16C 00003963 __kmpc_atomic_fixed8_swp
       2282  16D 00004DB8 __kmpc_atomic_fixed8_wr
       2048  16E 00003B84 __kmpc_atomic_fixed8_xor
       2340  16F 000033E1 __kmpc_atomic_fixed8_xor_cpt
       2042  170 00001393 __kmpc_atomic_fixed8u_div
       2334  171 000034EA __kmpc_atomic_fixed8u_div_cpt
       2446  172 00005D7B __kmpc_atomic_fixed8u_div_cpt_rev
       2490  173 0000258B __kmpc_atomic_fixed8u_div_rev
       2047  174 00005D03 __kmpc_atomic_fixed8u_shr
       2339  175 000043F4 __kmpc_atomic_fixed8u_shr_cpt
       2449  176 00005510 __kmpc_atomic_fixed8u_shr_cpt_rev
       2493  177 00001082 __kmpc_atomic_fixed8u_shr_rev
       2081  178 0000477D __kmpc_atomic_float10_add
       2375  179 00004011 __kmpc_atomic_float10_add_cpt
       2084  17A 00006262 __kmpc_atomic_float10_div
       2378  17B 000038E6 __kmpc_atomic_float10_div_cpt
       2455  17C 000040CF __kmpc_atomic_float10_div_cpt_rev
       2499  17D 00003571 __kmpc_atomic_float10_div_rev
       2083  17E 000056FF __kmpc_atomic_float10_mul
       2377  17F 000017D0 __kmpc_atomic_float10_mul_cpt
       2271  180 000011F4 __kmpc_atomic_float10_rd
       2082  181 00001AB4 __kmpc_atomic_float10_sub
       2376  182 00001096 __kmpc_atomic_float10_sub_cpt
       2454  183 00003477 __kmpc_atomic_float10_sub_cpt_rev
       2498  184 000039FE __kmpc_atomic_float10_sub_rev
       2418  185 00005E07 __kmpc_atomic_float10_swp
       2285  186 00002293 __kmpc_atomic_float10_wr
        104  187 00004D68 __kmpc_atomic_float4_add
       2317  188 000058C6 __kmpc_atomic_float4_add_cpt
       2187  189 0000387D __kmpc_atomic_float4_add_float8
       2049  18A 00002C8E __kmpc_atomic_float4_div
       2341  18B 000030BC __kmpc_atomic_float4_div_cpt
       2451  18C 00001C3F __kmpc_atomic_float4_div_cpt_rev
       2190  18D 00002CB6 __kmpc_atomic_float4_div_float8
       2495  18E 00002E64 __kmpc_atomic_float4_div_rev
       2069  18F 00006023 __kmpc_atomic_float4_max
       2361  190 00004F25 __kmpc_atomic_float4_max_cpt
       2070  191 00001AC3 __kmpc_atomic_float4_min
       2362  192 000045FC __kmpc_atomic_float4_min_cpt
       2050  193 000044EE __kmpc_atomic_float4_mul
       2342  194 000027DE __kmpc_atomic_float4_mul_cpt
       2189  195 000030DA __kmpc_atomic_float4_mul_float8
       2269  196 00002A77 __kmpc_atomic_float4_rd
       2026  197 000034A4 __kmpc_atomic_float4_sub
       2318  198 00004728 __kmpc_atomic_float4_sub_cpt
       2450  199 000046F1 __kmpc_atomic_float4_sub_cpt_rev
       2188  19A 00001159 __kmpc_atomic_float4_sub_float8
       2494  19B 00005425 __kmpc_atomic_float4_sub_rev
       2416  19C 00001B18 __kmpc_atomic_float4_swp
       2283  19D 00005E8E __kmpc_atomic_float4_wr
        105  19E 000037BA __kmpc_atomic_float8_add
       2321  19F 000017E9 __kmpc_atomic_float8_add_cpt
       2051  1A0 00003D4B __kmpc_atomic_float8_div
       2343  1A1 00005E7F __kmpc_atomic_float8_div_cpt
       2453  1A2 0000162C __kmpc_atomic_float8_div_cpt_rev
       2497  1A3 000021DF __kmpc_atomic_float8_div_rev
       2071  1A4 0000585D __kmpc_atomic_float8_max
       2363  1A5 00006113 __kmpc_atomic_float8_max_cpt
       2072  1A6 00001073 __kmpc_atomic_float8_min
       2364  1A7 00003427 __kmpc_atomic_float8_min_cpt
       2052  1A8 00002234 __kmpc_atomic_float8_mul
       2344  1A9 00004764 __kmpc_atomic_float8_mul_cpt
       2270  1AA 0000579F __kmpc_atomic_float8_rd
       2030  1AB 00004296 __kmpc_atomic_float8_sub
       2322  1AC 000043D1 __kmpc_atomic_float8_sub_cpt
       2452  1AD 000033C3 __kmpc_atomic_float8_sub_cpt_rev
       2496  1AE 000062E4 __kmpc_atomic_float8_sub_rev
       2417  1AF 0000335F __kmpc_atomic_float8_swp
       2284  1B0 00002FDB __kmpc_atomic_float8_wr
       2410  1B1 00006122 __kmpc_atomic_start
        106  1B2 000025D1 __kmpc_barrier
        107  1B3 00005E48 __kmpc_barrier_master
        108  1B4 00003297 __kmpc_barrier_master_nowait
        110  1B5 00004E7B __kmpc_begin
        111  1B6 00004052 __kmpc_bound_num_threads
        112  1B7 00003A1C __kmpc_bound_thread_num
        244  1B8 00004BF6 __kmpc_cancel
        246  1B9 0000305D __kmpc_cancel_barrier
        245  1BA 00002CCF __kmpc_cancellationpoint
        172  1BB 00002761 __kmpc_copyprivate
        279  1BC 00003CAB __kmpc_copyprivate_light
        113  1BD 000062A8 __kmpc_critical
        270  1BE 00003319 __kmpc_critical_with_hint
