
Dump of file C:\Windows\System32\shell32.dll

File Type: DLL

  Section contains the following exports for SHELL32.dll

    00000000 characteristics
    7D6DD8B0 time date stamp
        0.00 version
           2 ordinal base
        2000 number of functions
         477 number of names

    ordinal hint RVA      name

         80  181 002B85A0 SHOpenPropSheetW
        546  182 001C7510 SHOpenWithDialog
        547  183 00068FB0 SHParseDisplayName
        548  184 001C2790 SHPathPrepareForWriteA
        549  185 001C27B0 SHPathPrepareForWriteW
        685  186 00259E40 SHPropStgCreate
        688  187 00259E60 SHPropStgReadMultiple
        689  188 00259E80 SHPropStgWriteMultiple
        550  189 002B9B90 SHQueryRecycleBinA
        551  18A 002B9C20 SHQueryRecycleBinW
        552  18B 00259EA0 SHQueryUserNotificationState
        553  18C 0022DEC0 SHRemoveLocalizedName
        170  18D 00281600 SHReplaceFromPropSheetExtArray
        554  18E 00259F50 SHResolveLibrary
        100  18F 00068A50 SHRestricted
        555  190 00281350 SHSetDefaultProperties
        231  191 00259F70 SHSetFolderPathA
        232  192 00259F90 SHSetFolderPathW
        176  193 000C1090 SHSetInstanceExplorer
        556  194 00259FB0 SHSetKnownFolderPath
        557  195 0022DF60 SHSetLocalizedName
        558  196 00039A60 SHSetTemporaryPropertyForItem
        559  197 0021C1E0 SHSetUnreadMailCountW
         73  198 002A5BF0 SHShellFolderView_Message
        560  199 004EE7E0 SHShowManageLibraryUI
        162  19A 0021C410 SHSimpleIDListFromPath
         14  19B 002A9E00 SHStartNetConnectionDialogW
        245  19C 000BF3C0 SHTestTokenMembership
        191  19D 00280F80 SHUpdateImageA
        192  19E 00280FF0 SHUpdateImageW
        561  19F 000C11D0 SHUpdateRecycleBinIcon
        173  1A0 00268DC0 SHValidateUNC
        562  1A1 0010EB20 SetCurrentProcessExplicitAppUserModelID
        563  1A2 001B5CE0 SheChangeDirA
        564  1A3 001B5D60 SheChangeDirExW
        565  1A4 001B6370 SheGetDirA
        566  1A5 001B65C0 SheSetCurDrive
        567  1A6 002C9CD0 ShellAboutA
        568  1A7 002C9E00 ShellAboutW
        569  1A8 001E15E0 ShellExec_RunDLL
        570  1A9 001E15E0 ShellExec_RunDLLA
        571  1AA 001E1690 ShellExec_RunDLLW
        572  1AB 001E17F0 ShellExecuteA
        573  1AC 001E1890 ShellExecuteEx
        574  1AD 001E1890 ShellExecuteExA
        575  1AE 00060FE0 ShellExecuteExW
        576  1AF 001097E0 ShellExecuteW
        577  1B0 0010EB40 ShellHookProc
        183  1B1          ShellMessageBoxA (forwarded to shlwapi.ShellMessageBoxA)
        182  1B2          ShellMessageBoxW (forwarded to shlwapi.ShellMessageBoxW)
         72  1B3 002680B0 Shell_GetCachedImageIndex
        578  1B4 002680C0 Shell_GetCachedImageIndexA
        579  1B5 00053B40 Shell_GetCachedImageIndexW
         71  1B6 000BE6F0 Shell_GetImageLists
         67  1B7 0004D230 Shell_MergeMenus
        580  1B8 00259FF0 Shell_NotifyIcon
        581  1B9 00259FF0 Shell_NotifyIconA
        582  1BA 0010B5E0 Shell_NotifyIconGetRect
        583  1BB 0004E6F0 Shell_NotifyIconW
        103  1BC 000BE140 SignalFileOpen
        584  1BD 000BDF60 StateRepoNewMenuCache_EnsureCacheAsync
        585  1BE 0008D800 StateRepoNewMenuCache_RebuildCacheAsync
        682  1BF 002CA190 StgMakeUniqueName
        586  1C0 00114880 StrChrA
        587  1C1 00114890 StrChrIA
        588  1C2 001148A0 StrChrIW
        589  1C3 001148B0 StrChrW
        590  1C4 001148C0 StrCmpNA
        591  1C5 001148D0 StrCmpNIA
        592  1C6 001148E0 StrCmpNIW
        593  1C7 001148F0 StrCmpNW
        594  1C8 001B4260 StrNCmpA
