
Dump of file C:\Windows\System32\samsrv.dll

File Type: DLL

  Section contains the following exports for SAMSRV.dll

    00000000 characteristics
     9354CF9 time date stamp
        0.00 version
           1 ordinal base
         329 number of functions
         329 number of names

    ordinal hint RVA      name

        292  123 00082E90 SampValidateDomainControllerCreation
        293  124 00015250 SampValidatePwdSettingAttempt
        294  125 0000C400 SampValidateRegAttributes
        295  126 0002F4F0 SampWriteEventLog
        296  127 00013FC0 SampWriteGroupType
        297  128 00028AC0 SamrAddMemberToAlias
        298  129 000737C0 SamrAddMemberToGroup
        299  12A 00009E00 SamrCloseHandle
        300  12B 0006F3E0 SamrCreateUser2InDomain
        301  12C 0006F580 SamrCreateUserInDomain
        302  12D 00056EF0 SamrDeleteAlias
        303  12E 00073950 SamrDeleteGroup
        304  12F 0008AE10 SamrDeleteUser
        305  130 0000F1A0 SamrEnumerateUsersInDomain
        306  131 000020D0 SamrEnumerateUsersInDomain2
        307  132 00030860 SamrGetAliasMembership
        308  133 00030730 SamrGetGroupsForUser
        309  134 00002580 SamrGetMembersInAlias
        310  135 0000D5C0 SamrLookupIdsInDomain
        311  136 0000FE00 SamrLookupNamesInDomain
        312  137 000045C0 SamrLookupNamesInDomain2
        313  138 0000E240 SamrOpenAlias
        314  139 00007B50 SamrOpenDomain
        315  13A 00020F20 SamrOpenGroup
        316  13B 0000CE60 SamrOpenUser
        317  13C 0006C490 SamrQueryDisplayInformation
        318  13D 00022D00 SamrQueryInformationDomain
        319  13E 00004510 SamrQueryInformationUser
        320  13F 00004520 SamrQueryInformationUser2
        321  140 00010050 SamrQuerySecurityObject
        322  141 000575B0 SamrRemoveMemberFromAlias
        323  142 00074300 SamrRemoveMemberFromGroup
        324  143 0000D410 SamrRidToSid
        325  144 00057950 SamrSetInformationAlias
        326  145 00074490 SamrSetInformationGroup
        327  146 0008B980 SamrSetInformationUser
        328  147 000820A0 SamrSetSecurityObject
        329  148 00011A00 SamrValidatePassword

  Summary

        6000 .data
        1000 .didat
        6000 .pdata
       2D000 .rdata
        2000 .reloc
        B000 .rsrc
       99000 .text
