
Dump of file C:\Windows\System32\migwiz\csiagent.dll

File Type: DLL

  Section contains the following exports for csiagent.dll

    00000000 characteristics
    9BEEE246 time date stamp
        0.00 version
           1 ordinal base
         197 number of functions
         197 number of names

    ordinal hint RVA      name

        160   9E 000078F0 ?Reset@CListManifestEnumerator@Mig@@UEAAXXZ
        161   9F 000150B0 ?Steal@?$SmartPtr@V?$ArrayList@PEAV?$DictionaryEntry@PEAVString@UnBCL@@PEAV12@@UnBCL@@@UnBCL@@@UnBCL@@QEAAPEAV?$ArrayList@PEAV?$DictionaryEntry@PEAVString@UnBCL@@PEAV12@@UnBCL@@@2@XZ
        162   A0 00015320 ?Steal@?$SmartPtr@VXmlDocument@UnBCL@@@UnBCL@@QEAAPEAVXmlDocument@2@XZ
        163   A1 00002FC0 ?get_AlwaysProcessRange@CReplManData@Mig@@QEAAPEAVString@UnBCL@@XZ
        164   A2 00001830 ?get_BasePath@CComponentState@Mig@@QEAAPEAVString@UnBCL@@XZ
        165   A3 00002200 ?get_BasePath@CDirManifestEnumerator@Mig@@UEAAPEAVString@UnBCL@@XZ
        166   A4 00006540 ?get_BasePath@CInstalledManifestEnumerator@Mig@@UEAAPEAVString@UnBCL@@XZ
        167   A5 000021C0 ?get_BasePath@CListManifestEnumerator@Mig@@UEAAPEAVString@UnBCL@@XZ
        168   A6 00002ED0 ?get_BasePath@CReplManData@Mig@@QEAAPEAVString@UnBCL@@XZ
        169   A7 00006E50 ?get_ClonedCurrent@CDirManifestEnumerator@Mig@@UEAAPEAVXmlDocument@UnBCL@@XZ
        170   A8 000062B0 ?get_ClonedCurrent@CInstalledManifestEnumerator@Mig@@UEAAPEAVXmlDocument@UnBCL@@XZ
        171   A9 000075D0 ?get_ClonedCurrent@CListManifestEnumerator@Mig@@UEAAPEAVXmlDocument@UnBCL@@XZ
        172   AA 00002FB0 ?get_Content@CReplManData@Mig@@QEAAPEAVXmlDocument@UnBCL@@XZ
        173   AB 00006D60 ?get_Current@CDirManifestEnumerator@Mig@@UEAAPEAVXmlDocument@UnBCL@@XZ
        174   AC 00006220 ?get_Current@CInstalledManifestEnumerator@Mig@@UEAAPEAVXmlDocument@UnBCL@@XZ
        175   AD 000074E0 ?get_Current@CListManifestEnumerator@Mig@@UEAAPEAVXmlDocument@UnBCL@@XZ
        176   AE 000021D0 ?get_DisplayID@CComponentState@Mig@@QEAAPEAVString@UnBCL@@XZ
        177   AF 00002200 ?get_DisplayStringTable@CComponentState@Mig@@QEAAPEAV?$Hashtable@PEAVString@UnBCL@@PEAV12@@UnBCL@@XZ
        178   B0 000021E0 ?get_Hidden@CComponentState@Mig@@QEAAHXZ
        179   B1 00001830 ?get_ManifestEnumerator@CManifestSource@Mig@@UEAAPEAUIManifestEnumerator@2@XZ
        180   B2 000070A0 ?get_ManifestFile@CDirManifestEnumerator@Mig@@UEAAPEAVString@UnBCL@@XZ
        181   B3 00006550 ?get_ManifestFile@CInstalledManifestEnumerator@Mig@@UEAAPEAVString@UnBCL@@XZ
        182   B4 00007830 ?get_ManifestFile@CListManifestEnumerator@Mig@@UEAAPEAVString@UnBCL@@XZ
