
Dump of file C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_a51067c0ac557884\nvcuda32.dll

File Type: DLL

  Section contains the following exports for nvcuda.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         537 number of functions
         537 number of names

    ordinal hint RVA      name

        337  151 001C0310 cuMemcpy3D_v2_ptds
        339  152 001F1340 cuMemcpyAsync
        340  153 001C06B0 cuMemcpyAsync_ptsz
        341  154 001E89E0 cuMemcpyAtoA
        342  155 001EEEF0 cuMemcpyAtoA_v2
        343  156 001BFD80 cuMemcpyAtoA_v2_ptds
        344  157 001E83E0 cuMemcpyAtoD
        345  158 001EE8C0 cuMemcpyAtoD_v2
        346  159 001BF750 cuMemcpyAtoD_v2_ptds
        347  15A 001E87E0 cuMemcpyAtoH
        348  15B 001E8DA0 cuMemcpyAtoHAsync
        349  15C 001EF2D0 cuMemcpyAtoHAsync_v2
        350  15D 001C12E0 cuMemcpyAtoHAsync_v2_ptsz
        351  15E 001EECE0 cuMemcpyAtoH_v2
        352  15F 001BFB70 cuMemcpyAtoH_v2_ptds
        353  160 001E81E0 cuMemcpyDtoA
        354  161 001EE6B0 cuMemcpyDtoA_v2
        355  162 001BF540 cuMemcpyDtoA_v2_ptds
        356  163 001E7FC0 cuMemcpyDtoD
        357  164 001E98F0 cuMemcpyDtoDAsync
        358  165 001EFE50 cuMemcpyDtoDAsync_v2
        359  166 001C0EE0 cuMemcpyDtoDAsync_v2_ptsz
        360  167 001EE490 cuMemcpyDtoD_v2
        361  168 001BF320 cuMemcpyDtoD_v2_ptds
        362  169 001E7DD0 cuMemcpyDtoH
        363  16A 001E96F0 cuMemcpyDtoHAsync
        364  16B 001EFC40 cuMemcpyDtoHAsync_v2
        365  16C 001C0CD0 cuMemcpyDtoHAsync_v2_ptsz
        366  16D 001EE290 cuMemcpyDtoH_v2
        367  16E 001BF120 cuMemcpyDtoH_v2_ptds
        368  16F 001E85E0 cuMemcpyHtoA
        369  170 001E8BC0 cuMemcpyHtoAAsync
        370  171 001EF0E0 cuMemcpyHtoAAsync_v2
        371  172 001C10F0 cuMemcpyHtoAAsync_v2_ptsz
        372  173 001EEAD0 cuMemcpyHtoA_v2
