
Dump of file C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_518f2921ba495409\igdgmm64.dll

File Type: DLL

  Section contains the following exports for igdgmm64.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         287 number of functions
         287 number of names

    ordinal hint RVA      name

         79   4E 00002350 ?GetCachePolicyUsage@GmmResourceInfoCommon@GmmLib@@UEAA?AW4GMM_RESOURCE_USAGE_TYPE_ENUM@@XZ
         80   4F 0016CA10 ?GetCacheSizes@GmmClientContext@GmmLib@@UEAAXPEAUGMM_CACHE_SIZES_REC@@@Z
         81   50 00002330 ?GetClientContext@GmmPageTableMgr@GmmLib@@UEAAPEAVGmmClientContext@2@XZ
         82   51 00002360 ?GetClientType@GmmClientContext@GmmLib@@UEAA?AW4GMM_CLIENT_ENUM@@XZ
         83   52 00002360 ?GetClientType@GmmResourceInfoCommon@GmmLib@@UEAA?AW4GMM_CLIENT_ENUM@@XZ
         84   53 00002370 ?GetColorSeparationArraySize@GmmResourceInfoCommon@GmmLib@@UEAAIXZ
         85   54 00002380 ?GetColorSeparationPhysicalWidth@GmmResourceInfoCommon@GmmLib@@UEAAIXZ
         86   55 001478D0 ?GetCompressionBlockDepth@GmmResourceInfoCommon@GmmLib@@UEAAIXZ
         87   56 00147890 ?GetCompressionBlockHeight@GmmResourceInfoCommon@GmmLib@@UEAAIXZ
         88   57 00147850 ?GetCompressionBlockWidth@GmmResourceInfoCommon@GmmLib@@UEAAIXZ
         89   58 000023B0 ?GetCpuCacheType@GmmResourceInfoCommon@GmmLib@@UEAA?AW4GMM_CPU_CACHE_TYPE_ENUM@@XZ
         90   59 000023C0 ?GetD3d9Flags@GmmResourceInfoWin@GmmLib@@UEAAAEAU_D3DDDI_RESOURCEFLAGS@@XZ
         91   5A 000023D0 ?GetD3d9Format@GmmResourceInfoWin@GmmLib@@UEAA?AW4_D3DDDIFORMAT@@XZ
         92   5B 0016FA50 ?GetD3dSwizzlePattern@GmmClientContext@GmmLib@@UEAAXPEBU_SWIZZLE_DESCRIPTOR@@EPEAUD3D12DDI_SWIZZLE_PATTERN_DESC_0004@@@Z
         93   5C 0016F990 ?GetD3dSwizzlePattern@GmmClientContext@GmmLib@@UEAAXPEBU_SWIZZLE_DESCRIPTOR@@EPEAUD3D12DDI_SWIZZLE_PATTERN_DESC_0022@@@Z
         94   5D 0016F810 ?GetD3dSwizzlePattern@GmmClientContext@GmmLib@@UEAAXPEBU_SWIZZLE_DESCRIPTOR@@EPEAUD3DWDDM2_0DDI_SWIZZLE_PATTERN_DESC@@@Z
         95   5E 0016F8D0 ?GetD3dSwizzlePattern@GmmClientContext@GmmLib@@UEAAXPEBU_SWIZZLE_DESCRIPTOR@@EPEAUD3DWDDM2_2DDI_SWIZZLE_PATTERN_DESC@@@Z
         96   5F 00148E50 ?GetDisplayCompressionSupport@GmmResourceInfoCommon@GmmLib@@UEAAEXZ
         97   60 00148DD0 ?GetDisplayFastClearSupport@GmmResourceInfoCommon@GmmLib@@UEAAEXZ
         98   61 0016CAF0 ?GetExtendedTextureAlign@GmmClientContext@GmmLib@@UEAAXIAEAU__TEX_ALIGNMENT@@@Z
         99   62 00147D40 ?GetFastClearHeight@GmmResourceInfoCommon@GmmLib@@UEAAII@Z
        100   63 00147C40 ?GetFastClearWidth@GmmResourceInfoCommon@GmmLib@@UEAA_KI@Z
        101   64 000023E0 ?GetFlatPhysCcsSize@GmmResourceInfoCommon@GmmLib@@UEAA_KXZ
        102   65 0016EB90 ?GetGSCBuffer@GmmClientContext@GmmLib@@UEAA?AW4GMM_STATUS_ENUM@@TGMM_ESCAPE_HANDLE_REC@@0PEAPEAXPEAITGMM_ESCAPE_FUNC_TYPE_REC@@@Z
        103   66 00002430 ?GetGfxAddress@GmmResourceInfoCommon@GmmLib@@UEAA_KXZ
        104   67 00002450 ?GetGmmClientContext@GmmResourceInfoCommon@GmmLib@@UEAAPEAVGmmClientContext@2@XZ
        105   68 00002460 ?GetGmmLibContext@GmmResourceInfoCommon@GmmLib@@UEAAPEAVContext@2@XZ
        106   69 00002470 ?GetHAlign@GmmResourceInfoCommon@GmmLib@@UEAAIXZ
        107   6A 000024D0 ?GetHAlignSurfaceState@GmmResourceInfoCommon@GmmLib@@UEAAIXZ
        108   6B 0016F0C0 ?GetHeap32Base@GmmClientContext@GmmLib@@UEAA_KTGMM_ESCAPE_HANDLE_REC@@0PEAITGMM_ESCAPE_FUNC_TYPE_REC@@@Z
        109   6C 0016CC90 ?GetInternalGpuVaRangeLimit@GmmClientContext@GmmLib@@UEAA_KXZ
        110   6D 00002660 ?GetLibContext@GmmClientContext@GmmLib@@UEAAPEAVContext@2@XZ
        111   6E 00002670 ?GetLibContext@GmmPageTableMgr@GmmLib@@AEAAPEAVContext@2@XZ
        112   6F 0016FDF0 ?GetLogicalTileShape@GmmClientContext@GmmLib@@UEAA?AW4GMM_STATUS_ENUM@@IPEAI00@Z
        113   70 0016CC70 ?GetLosslessCompressionType@GmmClientContext@GmmLib@@UEAA?AW4GMM_E2ECOMP_FORMAT_ENUM@@W4GMM_RESOURCE_FORMAT_ENUM@@@Z
        114   71 00147970 ?GetMOCS@GmmResourceInfoCommon@GmmLib@@UEAA?ATMEMORY_OBJECT_CONTROL_STATE_REC@@XZ
        115   72 00146DE0 ?GetMappingSpanDesc@GmmResourceInfoCommon@GmmLib@@UEAAEPEAUGMM_GET_MAPPING_REC@@@Z
        116   73 0016FE70 ?GetMaxGpuVirtualAddressBits@GmmClientContext@GmmLib@@UEAAIPEAVGmmResourceInfoWin@2@@Z
        117   74 00002690 ?GetMaxGpuVirtualAddressBits@GmmResourceInfoCommon@GmmLib@@UEAAIXZ
        118   75 000026C0 ?GetMaxLod@GmmResourceInfoCommon@GmmLib@@UEAAIXZ
        119   76 000026D0 ?GetMaximumRenamingListLength@GmmResourceInfoCommon@GmmLib@@UEAAIXZ
        120   77 0016CC40 ?GetMediaSurfaceStateCompressionFormat@GmmClientContext@GmmLib@@UEAAEW4GMM_RESOURCE_FORMAT_ENUM@@@Z
        121   78 00147BE0 ?GetMipDepth@GmmResourceInfoCommon@GmmLib@@UEAAII@Z
        122   79 00147B80 ?GetMipHeight@GmmResourceInfoCommon@GmmLib@@UEAAII@Z
        123   7A 000026E0 ?GetMipTailStartLodSurfaceState@GmmResourceInfoCommon@GmmLib@@UEAAIXZ
        124   7B 00147B20 ?GetMipWidth@GmmResourceInfoCommon@GmmLib@@UEAA_KI@Z
        125   7C 000026F0 ?GetMmcHint@GmmResourceInfoCommon@GmmLib@@UEAA?AW4GMM_RESOURCE_MMC_HINT_REC@@I@Z
        126   7D 00002700 ?GetMmcMode@GmmResourceInfoCommon@GmmLib@@UEAA?AW4GMM_RESOURCE_MMC_INFO_REC@@I@Z
        127   7E 00002720 ?GetMultiTileArch@GmmResourceInfoCommon@GmmLib@@UEAAAEBUGMM_MULTI_TILE_ARCH_REC@@XZ
        128   7F 00002730 ?GetNumSamples@GmmResourceInfoCommon@GmmLib@@UEAAIXZ
        129   80 00145C30 ?GetOffset@GmmResourceInfoCommon@GmmLib@@UEAA?AW4GMM_STATUS_ENUM@@AEAUGMM_REQ_OFFSET_INFO_REC@@@Z
        130   81 0014A1B0 ?GetOffsetFor64KBTiles@GmmResourceInfoWin@GmmLib@@UEAA?AW4GMM_STATUS_ENUM@@AEAUGMM_REQ_OFFSET_INFO_REC@@@Z
