
Dump of file C:\Windows\System32\rpcrt4.dll

File Type: DLL

  Section contains the following exports for RPCRT4.dll

    00000000 characteristics
    E1D764F5 time date stamp
        0.00 version
        1000 ordinal base
         556 number of functions
         555 number of names

    ordinal hint RVA      name

       1338  14B 0005CBB0 NdrTypeFree
       1339  14C 0002DEA0 NdrTypeMarshall
       1340  14D 0002DE70 NdrTypeSize
       1341  14E 00065FD0 NdrTypeUnmarshall
       1342  14F 0005CF20 NdrUnmarshallBasetypeInline
       1343  150 00026060 NdrUserMarshalBufferSize
       1344  151 0005CD80 NdrUserMarshalFree
       1345  152 0002BCB0 NdrUserMarshalMarshall
       1346  153 00028D40 NdrUserMarshalMemorySize
       1347  154 000CE010 NdrUserMarshalSimpleTypeConvert
       1348  155 0004A1B0 NdrUserMarshalUnmarshall
       1349  156 00057F90 NdrVaryingArrayBufferSize
       1350  157 000677C0 NdrVaryingArrayFree
       1351  158 00057D00 NdrVaryingArrayMarshall
       1352  159 00057E20 NdrVaryingArrayMemorySize
       1353  15A 000580B0 NdrVaryingArrayUnmarshall
       1354  15B 000C66E0 NdrXmitOrRepAsBufferSize
       1355  15C 000C4F20 NdrXmitOrRepAsFree
       1356  15D 000C5780 NdrXmitOrRepAsMarshall
       1357  15E 000CB9F0 NdrXmitOrRepAsMemorySize
       1358  15F 000C7E40 NdrXmitOrRepAsUnmarshall
       1016  160 00001220 NdrpClientCall2
       1359  161 000C8A70 NdrpCreateProxy
       1360  162 000C8AF0 NdrpCreateStub
       1361  163 0006F390 NdrpGetProcFormatString
       1362  164 0006F430 NdrpGetTypeFormatString
       1363  165 0006F4D0 NdrpGetTypeGenCookie
       1364  166 00024F00 NdrpMemoryIncrement
       1365  167 000C8B60 NdrpReleaseTypeFormatString
       1366  168 0006F490 NdrpReleaseTypeGenCookie
       1367  169 0006F330 NdrpVarVtOfTypeDesc
       1368  16A 000028E0 RpcAsyncAbortCall
       1369  16B 00067FB0 RpcAsyncCancelCall
       1370  16C 00002320 RpcAsyncCompleteCall
       1371  16D 0005F0D0 RpcAsyncGetCallStatus
       1372  16E 00001170 RpcAsyncInitializeHandle
       1373  16F 0006B6D0 RpcAsyncRegisterInfo
       1374  170 0003B950 RpcBindingBind
       1375  171 0003B560 RpcBindingCopy
       1376  172 000B4D30 RpcBindingCreateA
       1377  173 0004D170 RpcBindingCreateW
       1378  174 0004AD90 RpcBindingFree
       1379  175 00066DA0 RpcBindingFromStringBindingA
       1380  176 000407F0 RpcBindingFromStringBindingW
       1381  177 0006C9C0 RpcBindingInqAuthClientA
       1382  178 0006C9F0 RpcBindingInqAuthClientExA
       1383  179 0003B850 RpcBindingInqAuthClientExW
       1384  17A 0003B820 RpcBindingInqAuthClientW
       1385  17B 000B5080 RpcBindingInqAuthInfoA
       1386  17C 000B50C0 RpcBindingInqAuthInfoExA
       1387  17D 0003B640 RpcBindingInqAuthInfoExW
       1388  17E 000A6840 RpcBindingInqAuthInfoW
       1389  17F 00057340 RpcBindingInqObject
       1390  180 000ADD40 RpcBindingInqOption
       1391  181 000A68C0 RpcBindingReset
       1392  182 00062530 RpcBindingServerFromClient
       1393  183 000B5170 RpcBindingSetAuthInfoA
       1394  184 000B51A0 RpcBindingSetAuthInfoExA
       1395  185 0004D2F0 RpcBindingSetAuthInfoExW
       1396  186 00064420 RpcBindingSetAuthInfoW
