
Dump of file C:\Windows\System32\MSFlacDecoder.dll

File Type: DLL

  Section contains the following exports for MSFLACDecoder.dll

    00000000 characteristics
    E070C79A time date stamp
        0.00 version
           1 ordinal base
         169 number of functions
         169 number of names

    ordinal hint RVA      name

        129   80 00001980 ??BStatus@SimpleIterator@Metadata@FLAC@@QEBA?AW4FLAC__Metadata_SimpleIteratorStatus@@XZ
        130   81 000019D0 ??BStream@Decoder@FLAC@@QEBA_NXZ
        131   82 00057268 ??_7Application@Metadata@FLAC@@6B@
        132   83 00057250 ??_7Chain@Metadata@FLAC@@6B@
        133   84 00057268 ??_7CueSheet@Metadata@FLAC@@6B@
        134   85 00057240 ??_7Iterator@Metadata@FLAC@@6B@
        135   86 00057268 ??_7Padding@Metadata@FLAC@@6B@
        136   87 00057268 ??_7Picture@Metadata@FLAC@@6B@
        137   88 00057268 ??_7SeekTable@Metadata@FLAC@@6B@
        138   89 00057260 ??_7SimpleIterator@Metadata@FLAC@@6B@
        139   8A 00057268 ??_7StreamInfo@Metadata@FLAC@@6B@
        140   8B 00057268 ??_7Unknown@Metadata@FLAC@@6B@
        141   8C 00057268 ??_7VorbisComment@Metadata@FLAC@@6B@
        142   8D 00001990 ?as_cstring@State@Stream@Decoder@FLAC@@QEBAPEBDXZ
        143   8E 00002F20 ?as_cstring@Status@Chain@Metadata@FLAC@@QEBAPEBDXZ
        144   8F 00002E00 ?as_cstring@Status@SimpleIterator@Metadata@FLAC@@QEBAPEBDXZ
        145   90 00002C10 ?assign@Application@Metadata@FLAC@@QEAAAEAV123@PEAUFLAC__StreamMetadata@@_N@Z
        146   91 00002C10 ?assign@CueSheet@Metadata@FLAC@@QEAAAEAV123@PEAUFLAC__StreamMetadata@@_N@Z
        147   92 00002C10 ?assign@Padding@Metadata@FLAC@@QEAAAEAV123@PEAUFLAC__StreamMetadata@@_N@Z
        148   93 00002C10 ?assign@Picture@Metadata@FLAC@@QEAAAEAV123@PEAUFLAC__StreamMetadata@@_N@Z
        149   94 00002C10 ?assign@SeekTable@Metadata@FLAC@@QEAAAEAV123@PEAUFLAC__StreamMetadata@@_N@Z
        150   95 00002C10 ?assign@StreamInfo@Metadata@FLAC@@QEAAAEAV123@PEAUFLAC__StreamMetadata@@_N@Z
        151   96 00002C10 ?assign@Unknown@Metadata@FLAC@@QEAAAEAV123@PEAUFLAC__StreamMetadata@@_N@Z
        152   97 00002C10 ?assign@VorbisComment@Metadata@FLAC@@QEAAAEAV123@PEAUFLAC__StreamMetadata@@_N@Z
        153   98 00002D60 ?get_isrc@Track@CueSheet@Metadata@FLAC@@QEBAPEBDXZ
        154   99 00002DB0 ?get_num_indices@Track@CueSheet@Metadata@FLAC@@QEBAEXZ
        155   9A 00002D50 ?get_number@Track@CueSheet@Metadata@FLAC@@QEBAEXZ
        156   9B 00002D40 ?get_offset@Track@CueSheet@Metadata@FLAC@@QEBA_KXZ
        157   9C 00002D90 ?get_pre_emphasis@Track@CueSheet@Metadata@FLAC@@QEBA_NXZ
        158   9D 00002A90 ?get_track@Track@CueSheet@Metadata@FLAC@@QEBAPEBUFLAC__StreamMetadata_CueSheet_Track@@XZ
        159   9E 00002D70 ?get_type@Track@CueSheet@Metadata@FLAC@@QEBAIXZ
        160   9F 00002A80 ?is_valid@Prototype@Metadata@FLAC@@QEBA_NXZ
        161   A0 000019B0 ?resolved_as_cstring@State@Stream@Decoder@FLAC@@QEBAPEBDAEBV234@@Z
        162   A1 00002DD0 ?set_number@Track@CueSheet@Metadata@FLAC@@QEAAXE@Z
        163   A2 00002DC0 ?set_offset@Track@CueSheet@Metadata@FLAC@@QEAAX_K@Z
        164   A3 00002DE0 ?set_pre_emphasis@Track@CueSheet@Metadata@FLAC@@QEAAX_N@Z
        165   A4 000029D0 ?set_reference@Prototype@Metadata@FLAC@@AEAAX_N@Z
        166   A5 00003AB0 DllCanUnloadNow
        167   A6 00003AD0 DllGetClassObject
        168   A7 00003630 DllRegisterServer
        169   A8 000038D0 DllUnregisterServer

  Summary

        2000 .data
        1000 .didat
        3000 .pdata
       18000 .rdata
        1000 .reloc
        1000 .rsrc
       55000 .text
