
Dump of file C:\Windows\System32\crypt32.dll

File Type: DLL

  Section contains the following exports for CRYPT32.dll

    00000000 characteristics
    6D85013F time date stamp
        0.00 version
        1001 ordinal base
        1000 number of functions
         295 number of names

    ordinal hint RVA      name

       1300  11F 000D5530 I_PFXHMAC
       1019  120 000D1030 I_PFXImportCertStoreEx
       1301  121 000D1AF0 PFXExportCertStore
       1302  122 000D1C50 PFXExportCertStore2
       1303  123 000D1C70 PFXExportCertStoreEx
       1304  124 000D1F00 PFXImportCertStore
       1305  125 000D1F30 PFXIsPFXBlob
       1306  126 000D1FC0 PFXVerifyPassword
       1001      0004C410 [NONAME]
       1002      0006D020 [NONAME]
       1003      0006CB20 [NONAME]
       1004      0006CB00 [NONAME]
       1005      0006CBD0 [NONAME]
       1006      0006CBB0 [NONAME]
       1007      0006CAA0 [NONAME]
       1008      0006CAE0 [NONAME]
       1009      0006CB60 [NONAME]
       1010      0006CB90 [NONAME]
       1011      0006CA80 [NONAME]
       2000      000D76B0 [NONAME]

  Summary

        7000 .data
        1000 .didat
        D000 .pdata
       37000 .rdata
        2000 .reloc
        1000 .rsrc
      106000 .text
