
Dump of file C:\Windows\System32\vdsutil.dll

File Type: DLL

  Section contains the following exports for vdsutil.dll

    00000000 characteristics
    5B6C884E time date stamp
        0.00 version
           1 ordinal base
         238 number of functions
         238 number of names

    ordinal hint RVA      name

        230   E5 0000F520 VdsWmiGetUlonglongFromInstance
        231   E6 000104B0 VdsWmiSetBoolInInstance
        232   E7 00010410 VdsWmiSetByteInInstance
        233   E8 00010640 VdsWmiSetObjectInInstance
        234   E9 00010570 VdsWmiSetStringInInstance
        235   EA 00010370 VdsWmiSetUlongInInstance
        236   EB 00010270 VdsWmiSetUlonglongInInstance
        237   EC 000015B0 WaitForRundownProtectionRelease
        238   ED 00008930 WriteBootCode

  Summary

        1000 .data
        1000 .didat
        1000 .pdata
        E000 .rdata
        1000 .reloc
        1000 .rsrc
       12000 .text
